u,v,key,edge_id,from,to,length
1449662787,2480666163,0,240325439,2480666163,1449662787,29.666999999999998
1449662791,1449663767,0,189242798,1449662791,1449663767,139.85
1449662791,1449663133,0,"[240325116, 189242798, 189242831]",1449663133,1449662791,106.19
1449662800,1698321170,0,131753952,1449662800,1698321170,48.952
1449662800,1698321129,0,157589588,1449662800,1698321129,36.012
1449662800,1698321200,0,157589588,1698321200,1449662800,4.897
1449662802,1449663454,0,131753968,1449662802,1449663454,252.33
1449662802,1449663285,0,189242889,1449663285,1449662802,220.36399999999998
1449662803,2480664505,0,157540966,2480664505,1449662803,81.665
1449662803,1697761821,0,157540966,1697761821,1449662803,164.458
1449662803,1697761838,0,"[240325616, 157540977]",1697761838,1449662803,190.86700000000002
1449662803,1697761763,0,240325616,1697761763,1449662803,110.72500000000001
1449662807,1449664140,0,239833764,1449662807,1449664140,58.364
1449662807,2478284717,0,240058867,1449662807,2478284717,128.551
1449662807,2478284424,0,239833764,2478284424,1449662807,349.62899999999996
1449662807,2478284570,0,240058834,2478284570,1449662807,26.838
1449662810,1449663245,0,131753935,1449662810,1449663245,39.957
1449662810,2482807717,0,240325120,1449662810,2482807717,273.338
1449662818,1449662979,0,240550596,1449662979,1449662818,115.667
1449662818,1449663321,0,131754092,1449663321,1449662818,91.151
1449662820,1449664003,0,240325513,1449662820,1449664003,33.519000000000005
1449662820,1697761763,0,240325616,1697761763,1449662820,35.805
1449662820,2480664418,0,886191047,2480664418,1449662820,15.771999999999998
1449662824,1449663534,0,240325136,1449662824,1449663534,9.925
1449662824,2482807361,0,887393751,1449662824,2482807361,34.345
1449662824,1449662864,0,240325136,1449662864,1449662824,9.725
1449662825,1449663142,0,131754107,1449662825,1449663142,5.467
1449662825,1449663148,0,131754107,1449663148,1449662825,43.556
1449662828,1449663923,0,240550572,1449662828,1449663923,64.99000000000001
1449662835,2482806764,0,240550078,1449662835,2482806764,55.223
1449662835,1449663707,0,240550142,1449662835,1449663707,39.998000000000005
1449662835,2482806755,0,240550142,2482806755,1449662835,8.63
1449662836,2482806732,0,240550413,2482806732,1449662836,17.846
1449662836,2482806737,0,240550413,2482806737,1449662836,29.287
1449662836,2482806755,0,131754002,1449662836,2482806755,151.9
1449662836,1449663554,0,131754002,1449663554,1449662836,164.614
1449662837,2478285179,0,239833764,1449662837,2478285179,466.122
1449662837,2478284715,0,889425679,1449662837,2478284715,36.394000000000005
1449662839,8237108842,0,131754101,1449662839,8237108842,72.402
1449662839,2482807689,0,"[744794001, 240550613]",2482807689,1449662839,146.425
1449662839,1449663844,0,131754101,1449663844,1449662839,50.177
1449662847,1449663980,0,131754003,1449663980,1449662847,36.237
1449662847,1449663369,0,240325261,1449663369,1449662847,13.768
1449662847,1449662940,0,887553702,1449662847,1449662940,40.633
1449662850,1697761793,0,157540998,1697761793,1449662850,184.357
1449662850,1697761738,0,240325140,1697761738,1449662850,74.246
1449662850,1449663396,0,240325140,1449663396,1449662850,79.655
1449662852,1449663872,0,240550137,1449663872,1449662852,13.795
1449662852,1449663079,0,240550137,1449663079,1449662852,287.014
1449662852,2482806887,0,240550795,1449662852,2482806887,171.19
1449662852,2482806822,0,240550078,2482806822,1449662852,73.698
1449662854,1449663468,0,239833764,1449662854,1449663468,61.864
1449662854,2479552011,0,240202043,2479552011,1449662854,272.207
1449662854,2478285179,0,239833764,2478285179,1449662854,85.48
