u,v,key,edge_id,from,to,length
60609811,60609819,0,577924800,60609811,60609819,94.31599999999999
60609811,60609959,0,577924800,60609959,60609811,139.72699999999998
60609811,1870149333,0,"[211456026, 944327293]",1870149333,60609811,153.51700000000002
60609819,60609822,0,776369343,60609819,60609822,61.053
60609819,60609963,0,798553850,60609819,60609963,159.29899999999998
60609822,303863647,0,28725760,60609822,303863647,299.69399999999996
60609822,60609866,0,196799739,60609822,60609866,15.863
60609822,60609973,0,"[798553851, 798553852, 427243110]",60609973,60609822,139.686
60609866,317496993,0,"[427243067, 8578611]",60609866,317496993,51.34200000000001
60609866,60609874,0,231390618,60609866,60609874,284.624
60609866,303863453,0,230628521,303863453,60609866,185.34799999999998
60609874,60609959,0,577924798,60609874,60609959,13.588000000000001
60609874,316544903,0,577924799,60609874,316544903,114.898
60609874,317496991,0,975251304,317496991,60609874,107.69800000000001
60609957,60609958,0,183853715,60609957,60609958,81.422
60609957,315837552,0,366497295,60609957,315837552,21.272
60609957,303868282,0,799528119,303868282,60609957,69.047
60609958,60609959,0,366497294,60609958,60609959,114.031
60609958,303868282,0,151882393,303868282,60609958,47.461999999999996
60609958,316544903,0,684436581,316544903,60609958,13.05
60609959,1870149333,0,577924801,60609959,1870149333,65.51599999999999
60609963,1647221979,0,14406394,60609963,1647221979,8.622
60609963,60609973,0,423246042,60609963,60609973,17.447
60609973,303863648,0,27611510,60609973,303863648,235.19400000000002
60609973,5257881635,0,231715373,5257881635,60609973,144.666
60609976,317496991,0,799528122,60609976,317496991,106.276
60609976,303868171,0,980711305,60609976,303868171,114.1
60609976,60609977,0,"[980711307, 943959365]",60609977,60609976,197.63100000000003
60609976,303868154,0,799528123,303868154,60609976,114.811
60609977,303868537,0,426927700,303868537,60609977,114.234
60609977,4557541720,0,980711306,4557541720,60609977,52.82099999999999
60609981,303868171,0,427243019,60609981,303868171,106.62500000000001
60609981,316544903,0,679168122,60609981,316544903,107.928
60609981,60609982,0,229481317,60609982,60609981,115.95
60609981,317496991,0,975251305,317496991,60609981,114.44500000000001
60609982,315837552,0,"[517412540, 977935375]",315837552,60609982,113.125
60609990,924763171,0,16256914,924763171,60609990,274.755
60609990,2395144766,0,"[437233641, 244739181]",60609990,2395144766,74.56200000000001
60609990,1421376033,0,"[972565236, 37909831]",1421376033,60609990,69.94399999999999
60624525,60685779,0,"[454576378, 211556988]",60624525,60685779,124.206
60624525,81354742,0,459033870,60624525,81354742,17.546
60624525,165458362,0,"[880791964, 230628805]",165458362,60624525,166.888
60624525,457559088,0,211556995,457559088,60624525,132.532
60624537,60624540,0,230628519,60624537,60624540,114.19500000000001
60624537,151273480,0,230784028,60624537,151273480,176.447
60624537,60624568,0,230784028,60624568,60624537,137.703
60624540,60624543,0,230628519,60624540,60624543,112.694
60624540,60624570,0,"[424211753, 493367006]",60624540,60624570,137.849
60624540,151273009,0,493367006,151273009,60624540,177.601
60624543,60624546,0,230628519,60624543,60624546,145.161
60624543,151272834,0,426696435,60624543,151272834,179.24900000000002
60624543,60624564,0,426696435,60624564,60624543,137.57
60624546,2006965197,0,230628519,60624546,2006965197,84.49
60624546,303852689,0,"[27667067, 424211908]",60624546,303852689,188.552
60624550,60624554,0,230628519,60624550,60624554,134.733
60624550,151272448,0,230784033,60624550,151272448,178.435
60624550,60624562,0,230784033,60624562,60624550,134.573
60624550,2006965197,0,230628519,2006965197,60624550,152.025
60624552,3297407433,0,322944643,3297407433,60624552,88.771
60624552,60624554,0,322944643,60624554,60624552,135.488
60624552,60624562,0,424211905,60624552,60624562,137.094
60624552,3297684461,0,424211905,3297684461,60624552,72.433
60624554,3297684462,0,230628519,60624554,3297684462,57.766
60624554,3297684463,0,322944643,3297684463,60624554,107.563
60624562,2006965208,0,424211905,60624562,2006965208,152.856
60624562,60624754,0,230784033,60624754,60624562,91.09100000000001
60624564,4236719425,0,679196996,4236719425,60624564,172.456
60624564,60624570,0,424211755,60624564,60624570,113.167
60624564,4236724715,0,424211905,4236724715,60624564,126.323
60624568,60624576,0,424211755,60624568,60624576,135.575
60624568,60624570,0,424211755,60624570,60624568,115.939
60624568,60624601,0,230784028,60624601,60624568,171.62800000000001
60624570,60624593,0,424211753,60624570,60624593,173.501
60624571,1953466367,0,424211755,60624571,1953466367,133.374
60624571,60624576,0,424211755,60624576,60624571,133.167
60624571,60624596,0,424211549,60624596,60624571,172.53300000000002
60624576,60624603,0,369467063,60624576,60624603,168.004
60624580,3297407432,0,322944643,3297407432,60624580,84.534
60624580,4823914110,0,38740544,4823914110,60624580,75.324
60624580,60624756,0,424211551,60624580,60624756,136.123
60624580,3375721649,0,424211551,3375721649,60624580,65.069
60624592,60624754,0,230784033,60624592,60624754,84.697
60624592,3375721649,0,424211551,60624592,3375721649,71.196
60624592,60624614,0,"[424222641, 230784033]",60624614,60624592,140.856
60624592,2006965186,0,424211551,2006965186,60624592,155.37
60624593,4236719425,0,424211551,60624593,4236719425,93.363
60624593,60624616,0,424211753,60624593,60624616,140.556
60624593,60624601,0,424211551,60624601,60624593,135.979
60624596,60624603,0,424211551,60624596,60624603,134.046
60624596,60624611,0,424211549,60624611,60624596,140.774
60624601,60624603,0,424211551,60624603,60624601,133.879
60624601,60624607,0,230784028,60624607,60624601,140.38
60624603,60624605,0,369467063,60624603,60624605,142.313
60624605,60624607,0,230784038,60624607,60624605,135.818
60624605,60624611,0,424211533,60624611,60624605,132.107
60624605,5629463536,0,426511883,60624605,5629463536,124.34
60624607,60624616,0,230784024,60624616,60624607,136.07399999999998
60624607,2006973650,0,424217260,2006973650,60624607,123.41199999999999
60624611,1953466363,0,230628532,1953466363,60624611,133.909
60624611,2006973645,0,244821385,2006973645,60624611,123.64100000000002
60624614,60624624,0,"[516406073, 230784035]",60624624,60624614,279.969
60624614,2006965210,0,"[971760403, 971760404, 230784037]",2006965210,60624614,157.251
60624614,1975523049,0,426511384,1975523049,60624614,123.979
60624616,2006973634,0,230784027,60624616,2006973634,123.094
60624616,60624618,0,230784029,60624618,60624616,160.019
60624618,60624713,0,230784032,60624618,60624713,139.594
60624618,2006965210,0,230784034,2006965210,60624618,158.793
60624618,2006973638,0,426511732,2006973638,60624618,124.02499999999999
60624622,60624692,0,426511385,60624692,60624622,131.362
60624622,2147307307,0,426511888,60624622,2147307307,77.752
60624622,1975523049,0,426511888,1975523049,60624622,90.95
60624624,303562336,0,14406970,303562336,60624624,146.814
60624624,60624626,0,230784030,60624624,60624626,122.762
60624624,60624756,0,423976021,60624756,60624624,140.325
60624626,142802741,0,27639668,60624626,142802741,134.64100000000002
60624626,6848935818,0,230784030,60624626,6848935818,125.809
60624626,2147307307,0,426511888,2147307307,60624626,114.993
60624635,2098758071,0,244821394,60624635,2098758071,129.488
60624635,2006973645,0,799528124,60624635,2006973645,134.328
60624635,60624688,0,424217366,60624688,60624635,132.136
60624635,60624699,0,14520394,60624699,60624635,137.676
60624646,60624648,0,424217366,60624646,60624648,159.013
60624646,2006973638,0,426511732,60624646,2006973638,131.392
60624646,60624739,0,426511732,60624739,60624646,138.56
60624646,2006965203,0,424217366,2006965203,60624646,158.873
60624648,60624650,0,424217366,60624648,60624650,136.72600000000003
60624648,60624710,0,426511880,60624648,60624710,138.657
60624648,6354712520,0,426511880,6354712520,60624648,51.519
60624650,4823908400,0,424217260,60624650,4823908400,51.139
60624650,60624688,0,424217366,60624650,60624688,136.065
60624650,60624720,0,424217260,60624720,60624650,138.281
60624688,60624717,0,424217262,60624688,60624717,137.85899999999998
60624688,4823908404,0,424217262,4823908404,60624688,51.498000000000005
60624692,60624694,0,424217366,60624692,60624694,89.788
60624692,2147307304,0,424217366,2147307304,60624692,77.444
60624694,2006965203,0,424217366,60624694,2006965203,156.99099999999999
60624694,1975523049,0,426511384,60624694,1975523049,130.707
60624694,60624736,0,284347441,60624736,60624694,139.71399999999997
60624699,60624717,0,426511024,60624699,60624717,133.446
60624699,142796703,0,867419785,142796703,60624699,21.760999999999996
60624706,4477205579,0,8578852,60624706,4477205579,45.884
60624706,60624741,0,426510609,60624741,60624706,158.906
60624706,60624710,0,426511880,60624710,60624706,139.64
60624710,60624739,0,424217266,60624710,60624739,159.506
60624710,60624720,0,424217266,60624720,60624710,136.12
60624713,2006965186,0,424211551,60624713,2006965186,161.48
60624713,4236719425,0,424211551,4236719425,60624713,65.469
60624717,60624720,0,424217266,60624717,60624720,136.039
60624731,60624736,0,284347441,60624731,60624736,139.454
60624731,925058776,0,359790125,925058776,60624731,140.187
60624731,4823908925,0,359790125,4823908925,60624731,50.648
60624731,5054627418,0,"[284347441, 450878338]",5054627418,60624731,138.952
60624735,60624752,0,423976021,60624735,60624752,133.46
60624735,60624743,0,423976021,60624743,60624735,119.108
60624735,3297684462,0,230628519,3297684462,60624735,69.957
60624736,142801237,0,424217266,60624736,142801237,306.373
60624736,2006965195,0,424217266,2006965195,60624736,158.058
60624739,2006965195,0,424217266,60624739,2006965195,158.61299999999997
60624739,60624741,0,426511732,60624741,60624739,140.547
60624741,2006965199,0,426510611,2006965199,60624741,158.177
60624743,4258864086,0,205998238,60624743,4258864086,72.83699999999999
60624743,60624745,0,423976021,60624745,60624743,54.836
60624745,4258864086,0,"[27644488, 426607367]",60624745,4258864086,56.834999999999994
60624745,151272325,0,"[301151225, 426605955]",151272325,60624745,120.048
60624745,3052434210,0,423976021,3052434210,60624745,67.069
60624752,3297407435,0,423976021,60624752,3297407435,89.166
60624752,3297684461,0,424211905,60624752,3297684461,58.528
60624752,3358829341,0,423976020,3358829341,60624752,83.55199999999999
60624754,3297407432,0,27667131,60624754,3297407432,137.668
60624756,3297407435,0,423976021,3297407435,60624756,92.333
60634932,60634936,0,"[333520057, 1066397500]",60634932,60634936,25.472
60634932,2580226521,0,938162740,60634932,2580226521,15.527000000000001
60634932,452091569,0,"[933944601, 928896949]",452091569,60634932,89.928
60634932,4230265779,0,342087798,4230265779,60634932,354.919
60634933,60634934,0,938162740,60634933,60634934,55.797
60634933,452091608,0,38305990,452091608,60634933,201.14100000000002
60634933,2580226521,0,938162740,2580226521,60634933,33.67
60634934,60634935,0,938162735,60634934,60634935,102.073
60634934,452091610,0,38306000,452091610,60634934,168.29
60634935,452091611,0,38306006,452091611,60634935,122.06899999999999
60634935,60734267,0,333520056,60634935,60734267,126.108
60634936,2496625519,0,"[945239372, 251862167]",2496625519,60634936,118.261
60634936,5232877813,0,289934628,5232877813,60634936,66.893
60634939,7788010539,0,431553067,7788010539,60634939,14.099
60634939,452091627,0,38306029,60634939,452091627,236.4
60634939,60634941,0,252059669,60634941,60634939,120.188
60634939,2496625519,0,360691122,2496625519,60634939,93.607
60634941,437564800,0,"[251831617, 252059669]",437564800,60634941,242.541
60634941,452091629,0,"[621584141, 38881343]",452091629,60634941,183.692
60641012,3278570084,0,321139485,60641012,3278570084,22.694000000000003
60641012,3278570087,0,425838713,60641012,3278570087,73.68299999999999
60641012,7289269107,0,48802837,7289269107,60641012,9.416
60641027,60641028,0,252274190,60641027,60641028,54.867000000000004
60641027,176011400,0,16975738,176011400,60641027,99.38599999999998
60641027,2429561621,0,"[72916490, 8579093, 234827311]",2429561621,60641027,163.227
60641028,60641088,0,46927934,60641028,60641088,53.389
60641028,2323782354,0,8103465,60641028,2323782354,61.793
60641028,60641030,0,46927935,60641028,60641030,50.70399999999999
60641028,60641305,0,"[1005082920, 8103471]",60641305,60641028,111.30499999999999
60641030,60641031,0,46892577,60641030,60641031,59.059
60641030,2323782354,0,223479042,60641030,2323782354,43.997
60641030,5062832283,0,262851665,5062832283,60641030,11.036
60641031,60685350,0,8103459,60685350,60641031,99.535
60641031,60641034,0,46892577,60641031,60641034,18.229
60641034,60641038,0,46927933,60641034,60641038,39.285000000000004
60641034,1113784382,0,"[338999840, 196799737, 945510041, 424637888]",1113784382,60641034,114.18799999999999
60641038,60641364,0,46927933,60641038,60641364,74.49
60641038,3713156706,0,"[8103464, 425459298]",3713156706,60641038,100.027
60641043,60641048,0,134365461,60641043,60641048,92.043
60641043,60685352,0,447117762,60641043,60685352,253.17700000000002
60641043,60641359,0,565520814,60641359,60641043,56.074
60641043,60641364,0,244936652,60641364,60641043,31.974999999999998
60641048,3713156706,0,22999960,3713156706,60641048,105.798
